Confirmed,State,Special Id,Production,Species
9-Oct-24,California,CA 054,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 099,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 102,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 103,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 084,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 085,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 086,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 087,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 088,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 089,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 090,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 091,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 093,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 094,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 095,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 097,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 098,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 059,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 075,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 076,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 077,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 078,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 079,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 080,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 081,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 082,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 083,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 100,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 101,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 060,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 061,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 062,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 063,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 064,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 065,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 066,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 067,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 068,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 069,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 070,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 071,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 072,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 073,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 074,Dairy Milking Cows,Cattle
2-Oct-24,California,CA 048,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 043,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 047,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 049,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 050,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 051,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 052,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 053,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 055,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 056,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 057,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 058,Dairy Milking Cows,Cattle
30-Sep-24,Idaho,ID 036,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 044,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 045,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 046,Dairy Milking Cows,Cattle
27-Sep-24,Idaho,ID 035,Dairy Milking Cows,Cattle
24-Sep-24,California,CA 015,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 037,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 038,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 039,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 040,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 041,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 042,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 018,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 019,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 020,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 021,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 022,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 023,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 024,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 025,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 026,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 027,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 029,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 030,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 031,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 032,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 033,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 034,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 035,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 036,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 011,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 012,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 013,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 014,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 016,Dairy Milking Cows,Cattle
18-Sep-24,California,CA 017,Dairy Milking Cows,Cattle
13-Sep-24,California,CA 009,Dairy Milking Cows,Cattle
13-Sep-24,California,CA 010,Dairy Milking Cows,Cattle
12-Sep-24,Idaho,ID 034,Dairy Milking Cows,Cattle
12-Sep-24,Texas,TX 026,Dairy Milking Cows,Cattle
11-Sep-24,Texas,TX 025,Dairy Milking Cows,Cattle
10-Sep-24,California,CA 007,Dairy Milking Cows,Cattle
10-Sep-24,California,CA 008,Dairy Milking Cows,Cattle
9-Sep-24,California,CA 004,Dairy Milking Cows,Cattle
9-Sep-24,California,CA 005,Dairy Milking Cows,Cattle
9-Sep-24,California,CA 006,Dairy Milking Cows,Cattle
9-Sep-24,Michigan,MI 029,Dairy Milking Cows,Cattle
30-Aug-24,California,CA 001,Dairy Milking Cows,Cattle
30-Aug-24,California,CA 002,Dairy Milking Cows,Cattle
30-Aug-24,California,CA 003,Dairy Milking Cows,Cattle
28-Aug-24,New Mexico,NM 009,Dairy Milking Cows,Cattle
26-Aug-24,Michigan,MI 028,Dairy Milking Cows,Cattle
13-Aug-24,Colorado,CO 064,Dairy Milking Cows,Cattle
13-Aug-24,Idaho,ID 033,Dairy Milking Cows,Cattle
6-Aug-24,Colorado,CO 056,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 053,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 054,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 055,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 057,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 058,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 059,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 060,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 061,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 062,Dairy Milking Cows,Cattle
5-Aug-24,Colorado,CO 063,Dairy Milking Cows,Cattle
1-Aug-24,Texas,TX 024,Dairy Milking Cows,Cattle
31-Jul-24,Colorado,CO 042,Dairy Milking Cows,Cattle
31-Jul-24,South Dakota,SD 006,Dairy Milking Cows,Cattle
31-Jul-24,South Dakota,SD 007,Dairy Milking Cows,Cattle
30-Jul-24,Michigan,MI 027,Dairy Milking Cows,Cattle
30-Jul-24,Texas,TX 023,Dairy Milking Cows,Cattle
29-Jul-24,Colorado,CO 052,Dairy Milking Cows,Cattle
23-Jul-24,Colorado,CO 050,Dairy Milking Cows,Cattle
23-Jul-24,Colorado,CO 051,Dairy Milking Cows,Cattle
22-Jul-24,Colorado,CO 048,Dairy Milking Cows,Cattle
22-Jul-24,Colorado,CO 049,Dairy Milking Cows,Cattle
19-Jul-24,Colorado,CO 046,Dairy Milking Cows,Cattle
19-Jul-24,Colorado,CO 047,Dairy Milking Cows,Cattle
19-Jul-24,Minnesota,MN 010,Dairy Milking Cows,Cattle
18-Jul-24,Colorado,CO 038,Dairy Milking Cows,Cattle
18-Jul-24,Colorado,CO 045,Dairy Milking Cows,Cattle
16-Jul-24,Colorado,CO 040,Dairy Milking Cows,Cattle
16-Jul-24,Colorado,CO 044,Dairy Milking Cows,Cattle
15-Jul-24,Colorado,CO 039,Dairy Milking Cows,Cattle
15-Jul-24,Colorado,CO 041,Dairy Milking Cows,Cattle
15-Jul-24,Colorado,CO 043,Dairy Milking Cows,Cattle
12-Jul-24,Colorado,CO 037,Dairy Milking Cows,Cattle
11-Jul-24,Colorado,CO 036,Dairy Milking Cows,Cattle
11-Jul-24,Idaho,ID 031,Dairy Milking Cows,Cattle
11-Jul-24,Idaho,ID 032,Dairy Milking Cows,Cattle
11-Jul-24,Oklahoma,OK 001,Dairy Milking Cows,Cattle
11-Jul-24,Oklahoma,OK 002,Dairy Milking Cows,Cattle
10-Jul-24,Colorado,CO 031,Dairy Milking Cows,Cattle
10-Jul-24,Colorado,CO 032,Dairy Milking Cows,Cattle
10-Jul-24,Colorado,CO 033,Dairy Milking Cows,Cattle
10-Jul-24,Colorado,CO 034,Dairy Milking Cows,Cattle
10-Jul-24,Colorado,CO 035,Dairy Milking Cows,Cattle
10-Jul-24,Minnesota,MN 009,Dairy Milking Cows,Cattle
9-Jul-24,Iowa,IA 012,Dairy Milking Cows,Cattle
8-Jul-24,Colorado,CO 028,Dairy Milking Cows,Cattle
8-Jul-24,Colorado,CO 029,Dairy Milking Cows,Cattle
8-Jul-24,Colorado,CO 030,Dairy Milking Cows,Cattle
8-Jul-24,Michigan,MI 026,Dairy Milking Cows,Cattle
8-Jul-24,Texas,TX 022,Dairy Milking Cows,Cattle
2-Jul-24,Minnesota,MN 008,Dairy Milking Cows,Cattle
1-Jul-24,Colorado,CO 027,Dairy Milking Cows,Cattle
28-Jun-24,Colorado,CO 017,Dairy Milking Cows,Cattle
28-Jun-24,Colorado,CO 024,Dairy Milking Cows,Cattle
28-Jun-24,Colorado,CO 025,Dairy Milking Cows,Cattle
28-Jun-24,Colorado,CO 026,Dairy Milking Cows,Cattle
28-Jun-24,Iowa,IA 013,Dairy Milking Cows,Cattle
25-Jun-24,Colorado,CO 022,Dairy Milking Cows,Cattle
25-Jun-24,Colorado,CO 023,Dairy Milking Cows,Cattle
25-Jun-24,Iowa,IA 011,Dairy Milking Cows,Cattle
24-Jun-24,Colorado,CO 020,Dairy Milking Cows,Cattle
24-Jun-24,Colorado,CO 021,Dairy Milking Cows,Cattle
24-Jun-24,Iowa,IA 010,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 013,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 014,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 015,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 016,Dairy Milking Cows,Cattle
21-Jun-24,Colorado,CO 018,Dairy Milking Cows,Cattle
21-Jun-24,Iowa,IA 008,Dairy Milking Cows,Cattle
21-Jun-24,Iowa,IA 009,Dairy Milking Cows,Cattle
20-Jun-24,Colorado,CO 019,Dairy Milking Cows,Cattle
20-Jun-24,Idaho,ID 029,Dairy Milking Cows,Cattle
18-Jun-24,Colorado,CO 011,Dairy Milking Cows,Cattle
18-Jun-24,Colorado,CO 012,Dairy Milking Cows,Cattle
18-Jun-24,Iowa,IA 006,Dairy Milking Cows,Cattle
18-Jun-24,Iowa,IA 007,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 005,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 006,Dairy Milking Cows,Cattle
18-Jun-24,Minnesota,MN 007,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 025,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 026,Dairy Milking Cows,Cattle
17-Jun-24,Idaho,ID 027,Dairy Milking Cows,Cattle
17-Jun-24,Iowa,IA 004,Dairy Milking Cows,Cattle
17-Jun-24,Iowa,IA 005,Dairy Milking Cows,Cattle
17-Jun-24,Texas,TX 020,Dairy Milking Cows,Cattle
17-Jun-24,Texas,TX 021,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 007,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 008,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 009,Dairy Milking Cows,Cattle
13-Jun-24,Colorado,CO 010,Dairy Milking Cows,Cattle
13-Jun-24,Iowa,IA 003,Dairy Milking Cows,Cattle
12-Jun-24,Colorado,CO 006,Dairy Milking Cows,Cattle
11-Jun-24,Michigan,MI 025,Dairy Milking Cows,Cattle
10-Jun-24,Colorado,CO 005,Dairy Milking Cows,Cattle
10-Jun-24,Idaho,ID 021,Dairy Milking Cows,Cattle
10-Jun-24,Idaho,ID 023,Dairy Milking Cows,Cattle
10-Jun-24,Idaho,ID 024,Dairy Milking Cows,Cattle
10-Jun-24,Iowa,IA 002,Dairy Milking Cows,Cattle
7-Jun-24,Iowa,IA 001,Dairy Milking Cows,Cattle
7-Jun-24,Minnesota,MN 004,Dairy Milking Cows,Cattle
6-Jun-24,Idaho,ID 020,Dairy Milking Cows,Cattle
6-Jun-24,Minnesota,MN 003,Dairy Milking Cows,Cattle
6-Jun-24,Wyoming,WY 001,Dairy Milking Cows,Cattle
5-Jun-24,Minnesota,MN 002,Dairy Milking Cows,Cattle
4-Jun-24,Texas,TX 019,Dairy Milking Cows,Cattle
3-Jun-24,Idaho,ID 019,Dairy Milking Cows,Cattle
3-Jun-24,Texas,TX 017,Dairy Milking Cows,Cattle
3-Jun-24,Texas,TX 018,Dairy Milking Cows,Cattle
31-May-24,Michigan,MI 024,Dairy Milking Cows,Cattle
31-May-24,South Dakota,SD 005,Dairy Milking Cows,Cattle
31-May-24,Texas,TX 016,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 011,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 012,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 013,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 014,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 015,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 016,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 017,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 018,Dairy Milking Cows,Cattle
30-May-24,Idaho,ID 028,Dairy Milking Cows,Cattle
29-May-24,Michigan,MI 023,Dairy Milking Cows,Cattle
28-May-24,Michigan,MI 021,Dairy Milking Cows,Cattle
28-May-24,Michigan,MI 022,Dairy Milking Cows,Cattle
24-May-24,Idaho,ID 010,Dairy Milking Cows,Cattle
23-May-24,Michigan,MI 019,Dairy Milking Cows,Cattle
23-May-24,South Dakota,SD 004,Dairy Milking Cows,Cattle
23-May-24,Texas,TX 015,Dairy Milking Cows,Cattle
22-May-24,Colorado,CO 003,Dairy Milking Cows,Cattle
22-May-24,Colorado,CO 004,Dairy Milking Cows,Cattle
22-May-24,Michigan,MI 016,Dairy Milking Cows,Cattle
22-May-24,Michigan,MI 017,Dairy Milking Cows,Cattle
22-May-24,Michigan,MI 018,Dairy Milking Cows,Cattle
22-May-24,Michigan,MI 020,Dairy Milking Cows,Cattle
21-May-24,Idaho,ID 008,Dairy Milking Cows,Cattle
21-May-24,Idaho,ID 009,Dairy Milking Cows,Cattle
20-May-24,South Dakota,SD 002,Dairy Milking Cows,Cattle
20-May-24,Texas,TX 014,Dairy Milking Cows,Cattle
17-May-24,South Dakota,SD 003,Dairy Milking Cows,Cattle
16-May-24,Idaho,ID 006,Dairy Milking Cows,Cattle
16-May-24,Idaho,ID 007,Backyard Producer,Alpaca
16-May-24,Michigan,MI 015,Dairy Milking Cows,Cattle
14-May-24,Idaho,ID 005,Dairy Milking Cows,Cattle
14-May-24,Michigan,MI 013,Dairy Milking Cows,Cattle
14-May-24,Michigan,MI 014,Dairy Milking Cows,Cattle
11-May-24,Michigan,MI 011,Dairy Milking Cows,Cattle
11-May-24,Michigan,MI 012,Dairy Milking Cows,Cattle
10-May-24,Idaho,ID 004,Dairy Milking Cows,Cattle
9-May-24,Texas,TX 013,Dairy Milking Cows,Cattle
8-May-24,Colorado,CO 002,Dairy Milking Cows,Cattle
8-May-24,Michigan,MI 007,Dairy Milking Cows,Cattle
8-May-24,Michigan,MI 008,Dairy Milking Cows,Cattle
8-May-24,Michigan,MI 009,Dairy Milking Cows,Cattle
8-May-24,Michigan,MI 010,Dairy Milking Cows,Cattle
7-May-24,Idaho,ID 003,Dairy Milking Cows,Cattle
25-Apr-24,Colorado,CO 001,Dairy Milking Cows,Cattle
19-Apr-24,Idaho,ID 002,Dairy Milking Cows,Cattle
17-Apr-24,Kansas,KS 004,Dairy Milking Cows,Cattle
17-Apr-24,Michigan,MI 006,Dairy Milking Cows,Cattle
17-Apr-24,New Mexico,NM 008,Dairy Milking Cows,Cattle
17-Apr-24,Texas,TX 006,Dairy Milking Cows,Cattle
15-Apr-24,Michigan,MI 005,Dairy Milking Cows,Cattle
12-Apr-24,Michigan,MI 003,Dairy Milking Cows,Cattle
12-Apr-24,Michigan,MI 004,Dairy Milking Cows,Cattle
10-Apr-24,New Mexico,NM 007,Dairy Milking Cows,Cattle
10-Apr-24,Texas,TX 012,Dairy Milking Cows,Cattle
9-Apr-24,New Mexico,NM 006,Dairy Milking Cows,Cattle
9-Apr-24,North Carolina,NC 001,Dairy Milking Cows,Cattle
9-Apr-24,South Dakota,SD 001,Dairy Milking Cows,Cattle
9-Apr-24,Texas,TX 003,Dairy Milking Cows,Cattle
6-Apr-24,New Mexico,NM 003,Dairy Milking Cows,Cattle
6-Apr-24,New Mexico,NM 004,Dairy Milking Cows,Cattle
6-Apr-24,New Mexico,NM 005,Dairy Milking Cows,Cattle
5-Apr-24,Michigan,MI 002,Dairy Milking Cows,Cattle
4-Apr-24,Texas,TX 010,Dairy Milking Cows,Cattle
4-Apr-24,Texas,TX 011,Dairy Milking Cows,Cattle
2-Apr-24,Idaho,ID 001,Dairy Milking Cows,Cattle
2-Apr-24,Ohio,OH 001,Dairy Milking Cows,Cattle
1-Apr-24,Kansas,KS 003,Dairy Milking Cows,Cattle
1-Apr-24,New Mexico,NM 001,Dairy Milking Cows,Cattle
1-Apr-24,New Mexico,NM 002,Dairy Milking Cows,Cattle
30-Mar-24,Texas,TX 008,Dairy Milking Cows,Cattle
30-Mar-24,Texas,TX 009,Dairy Milking Cows,Cattle
29-Mar-24,Michigan,MI 001,Dairy Milking Cows,Cattle
27-Mar-24,Texas,TX 001,Dairy Milking Cows,Cattle
27-Mar-24,Texas,TX 005,Dairy Milking Cows,Cattle
27-Mar-24,Texas,TX 007,Dairy Milking Cows,Cattle
26-Mar-24,Kansas,KS 001,Dairy Milking Cows,Cattle
26-Mar-24,Kansas,KS 002,Dairy Milking Cows,Cattle
26-Mar-24,Texas,TX 004,Dairy Milking Cows,Cattle
25-Mar-24,Texas,TX 002,Dairy Milking Cows,Cattle