source,host
dairy_cow,cattle
sanderling,avian
cat,nonhuman_mammal
turkey,avian
red_fox,nonhuman_mammal
chicken,avian
grackle,avian
blackbird,avian
common_grackle,avian
domestic_cat,nonhuman_mammal
feline,nonhuman_mammal
mountain_lion,nonhuman_mammal
skunk,nonhuman_mammal
canada_goose,avian
american_crow,avian
bald_eagle,avian
bufflehead,avian
horned_grebe,avian
ruddy_turnstone,avian
American_crow,avian
great_black-backed_gull,avian
alpaca,nonhuman_mammal
herring_gull,avian
goat,nonhuman_mammal
domestic_duck,avian
domestic_goose,avian
american_robin,avian
sparrow,avian
raccoon,nonhuman_mammal
pigeon,avian
house_mouse,nonhuman_mammal
Turkey,avian
Colorado,human
Michigan,human
Missouri,human
Texas,human